# Pseudonymisierung prod_mirror — Zuordnung JEDER Text-/JSON-Spalte (+ Personenbezug in Datum/Zahl).
# regel: bleibt | null | scrub (JSON: Struktur bleibt, Werte ersetzt) | =<SQL-Ausdruck>
# Das Skript bricht ab, wenn die Quell-DB eine Text-/JSON-Spalte hat, die hier fehlt.
tabelle	spalte	regel	begruendung
admin_permissions	permission_key	bleibt	Konfiguration/Katalog, kein Personenbezug
appointment_series	frequency	bleibt	Fachwert
appointment_series	notes	null	Freitext, kann Namen/Gesundheitsdaten enthalten
appointment_series	status	bleibt	Fachwert
appointment_series	weekdays	bleibt	Fachwert
appointment_services	details	null	Leistungsdokumentation (Freitext)
appointments	appointment_type	bleibt	Fachwert
appointments	co_visit_group_id	bleibt	technische Gruppen-ID
appointments	doctor_latitude	null	Geo-Koordinate der Arztpraxis (verweist auf Behandlung)
appointments	doctor_longitude	null	Geo-Koordinate der Arztpraxis
appointments	doctor_name	null	Arzt (Behandlungsbezug)
appointments	doctor_nr	null	Anschrift Arzt
appointments	doctor_plz	null	Anschrift Arzt
appointments	doctor_stadt	null	Anschrift Arzt
appointments	doctor_strasse	null	Anschrift Arzt
appointments	no_show_charge_suppression_reason	null	Freitext, kann Namen/Gesundheitsdaten enthalten
appointments	no_show_notes	null	Freitext, kann Namen/Gesundheitsdaten enthalten
appointments	no_show_reason	bleibt	Fachwert (Enum)
appointments	no_show_reason_text	null	Freitext, kann Namen/Gesundheitsdaten enthalten
appointments	notes	null	Freitext, kann Namen/Gesundheitsdaten enthalten
appointments	signature_data	null	Unterschrift (Bild)
appointments	signature_hash	bleibt	Hash, nicht umkehrbar
appointments	status	bleibt	Fachwert
appointments	travel_origin_type	bleibt	Fachwert
audit_log	action	bleibt	Fachwert
audit_log	entity_type	bleibt	Fachwert
audit_log	ip_address	null	IP-Adresse
audit_log	metadata	scrub	Audit-Details; Struktur bleibt, Werte außer Fachschlüsseln ersetzt
birthday_card_tracking	notes	null	Freitext, kann Namen/Gesundheitsdaten enthalten
birthday_card_tracking	person_type	bleibt	Fachwert
budget_allocations	budget_type	bleibt	Fachwert
budget_allocations	notes	=NULLIF(concat_ws(' ', CASE WHEN notes ~ 'Storno\y.*?Transaktion #[0-9]+\y' THEN 'Storno von Transaktion #' || substring(notes from 'Storno\y.*?Transaktion #([0-9]+)\y') WHEN notes ~ 'Transaktion #[0-9]+\y' THEN 'Umbuchung (Transaktion #' || substring(notes from 'Transaktion #([0-9]+)\y') || ')' END, substring(notes from '(Storno-Storno-Zeile #[0-9]+ \()'), substring(notes from '(verwaisten Storno #[0-9]+ \()')), '')	Freitext; nur die kanonischen Verweise bleiben, die Code liest: Storno-Bezug (parseStornoReference, Waisen-Suche), Transaktion #N (Monats-Umbuchung), Idempotenz-Marker der Reconcile-Skripte (Test: tests/tools/mirror-pseudonymisierung.test.ts)
budget_allocations	source	bleibt	Fachwert
budget_migrations	name	bleibt	Migrationsname (System)
budget_migrations	summary	null	Freitext
budget_migrations	version	bleibt	System
budget_reservations	budget_type	bleibt	Fachwert
budget_reservations	idempotency_key	bleibt	technischer Schlüssel
budget_reservations	occurrence_id	bleibt	technische ID
budget_reservations	period	bleibt	Fachwert
budget_reservations	state	bleibt	Fachwert
budget_transactions	budget_type	bleibt	Fachwert
budget_transactions	notes	=NULLIF(concat_ws(' ', CASE WHEN notes ~ 'Storno\y.*?Transaktion #[0-9]+\y' THEN 'Storno von Transaktion #' || substring(notes from 'Storno\y.*?Transaktion #([0-9]+)\y') WHEN notes ~ 'Transaktion #[0-9]+\y' THEN 'Umbuchung (Transaktion #' || substring(notes from 'Transaktion #([0-9]+)\y') || ')' END, substring(notes from '(Storno-Storno-Zeile #[0-9]+ \()'), substring(notes from '(verwaisten Storno #[0-9]+ \()')), '')	Freitext; nur die kanonischen Verweise bleiben, die Code liest: Storno-Bezug (parseStornoReference, Waisen-Suche), Transaktion #N (Monats-Umbuchung), Idempotenz-Marker der Reconcile-Skripte (Test: tests/tools/mirror-pseudonymisierung.test.ts)
budget_transactions	transaction_type	bleibt	Fachwert
company_settings	bank_account_holder	null	Geheimnis (Zugangsdaten/Token) oder Person/Kontakt
company_settings	bank_name	bleibt	Firmenstammdaten/Konfiguration, kein Personenbezug
company_settings	bic	bleibt	Firmenstammdaten/Konfiguration, kein Personenbezug
company_settings	company_name	bleibt	Firmenstammdaten/Konfiguration, kein Personenbezug
company_settings	delivery_cover_letter_text	null	Geheimnis (Zugangsdaten/Token) oder Person/Kontakt
company_settings	delivery_email_subject	bleibt	Firmenstammdaten/Konfiguration, kein Personenbezug
company_settings	email	null	Geheimnis (Zugangsdaten/Token) oder Person/Kontakt
company_settings	email_provider	bleibt	Firmenstammdaten/Konfiguration, kein Personenbezug
company_settings	geschaeftsfuehrer	null	Geheimnis (Zugangsdaten/Token) oder Person/Kontakt
company_settings	graph_client_id	null	Geheimnis (Zugangsdaten/Token) oder Person/Kontakt
company_settings	graph_client_secret	null	Geheimnis (Zugangsdaten/Token) oder Person/Kontakt
company_settings	graph_sender_upn	null	Geheimnis (Zugangsdaten/Token) oder Person/Kontakt
company_settings	graph_tenant_id	null	Geheimnis (Zugangsdaten/Token) oder Person/Kontakt
company_settings	hausnummer	bleibt	Firmenstammdaten/Konfiguration, kein Personenbezug
company_settings	iban	null	Geheimnis (Zugangsdaten/Token) oder Person/Kontakt
company_settings	ik_nummer	bleibt	Firmenstammdaten/Konfiguration, kein Personenbezug
company_settings	latitude	bleibt	Firmensitz, kein Personenbezug; für km-Berechnung
company_settings	lead_auto_reply_attachment_name	null	Geheimnis (Zugangsdaten/Token) oder Person/Kontakt
company_settings	lead_auto_reply_attachment_path	null	Geheimnis (Zugangsdaten/Token) oder Person/Kontakt
company_settings	lead_auto_reply_body	null	Geheimnis (Zugangsdaten/Token) oder Person/Kontakt
company_settings	lead_auto_reply_subject	null	Geheimnis (Zugangsdaten/Token) oder Person/Kontakt
company_settings	lead_call_bridge_phone	null	Geheimnis (Zugangsdaten/Token) oder Person/Kontakt
company_settings	letterxpress_api_key	null	Geheimnis (Zugangsdaten/Token) oder Person/Kontakt
company_settings	letterxpress_username	null	Geheimnis (Zugangsdaten/Token) oder Person/Kontakt
company_settings	logo_url	bleibt	Firmenstammdaten/Konfiguration, kein Personenbezug
company_settings	lohnart_alltagsbegleitung	bleibt	Firmenstammdaten/Konfiguration, kein Personenbezug
company_settings	lohnart_hauswirtschaft	bleibt	Firmenstammdaten/Konfiguration, kein Personenbezug
company_settings	lohnart_krankheit	bleibt	Firmenstammdaten/Konfiguration, kein Personenbezug
company_settings	lohnart_urlaub	bleibt	Firmenstammdaten/Konfiguration, kein Personenbezug
company_settings	longitude	bleibt	Firmensitz, kein Personenbezug
company_settings	pdf_logo_url	bleibt	Firmenstammdaten/Konfiguration, kein Personenbezug
company_settings	plz	bleibt	Firmenstammdaten/Konfiguration, kein Personenbezug
company_settings	qonto_additional_ibans	='{}'	IBANs
company_settings	qonto_iban	null	Geheimnis (Zugangsdaten/Token) oder Person/Kontakt
company_settings	qonto_login	null	Geheimnis (Zugangsdaten/Token) oder Person/Kontakt
company_settings	qonto_secret_key	null	Geheimnis (Zugangsdaten/Token) oder Person/Kontakt
company_settings	smtp_from_email	null	Geheimnis (Zugangsdaten/Token) oder Person/Kontakt
company_settings	smtp_from_name	null	Geheimnis (Zugangsdaten/Token) oder Person/Kontakt
company_settings	smtp_host	null	Geheimnis (Zugangsdaten/Token) oder Person/Kontakt
company_settings	smtp_pass	null	Geheimnis (Zugangsdaten/Token) oder Person/Kontakt
company_settings	smtp_port	bleibt	Firmenstammdaten/Konfiguration, kein Personenbezug
company_settings	smtp_user	null	Geheimnis (Zugangsdaten/Token) oder Person/Kontakt
company_settings	stadt	bleibt	Firmenstammdaten/Konfiguration, kein Personenbezug
company_settings	steuernummer	bleibt	Steuernummer der UG (juristische Person), kein Personenbezug
